species	organ	disease	to_remove
homo sapiens	Culture Media	No	
homo sapiens	Diaphragm	No	
homo sapiens	Duodenum	No	
homo sapiens	Embryonic Stem Cells	No	
homo sapiens	Endothelial Cells	No	
homo sapiens	Endothelium, Lymphatic	No	
homo sapiens	Epithelial Cells	Carcinoma, Bronchogenic	
homo sapiens	Epithelial Cells	No	
homo sapiens	Erythrocytes	No	
homo sapiens	Exosomes	No	
homo sapiens	Extracellular Fluid	No	
homo sapiens	Eye	No	
homo sapiens	Feces	No	
homo sapiens	Fetal Blood	No	
homo sapiens	Fibroblasts	No	
homo sapiens	Follicular Fluid	No	
homo sapiens	Gastrointestinal Contents	No	
homo sapiens	HEK293 Cells	Kidney Neoplasms	
homo sapiens	HEK293 Cells	No	
homo sapiens	HT29 Cells	Colonic Neoplasms	
homo sapiens	HeLa Cells	No	
homo sapiens	Hep G2 Cells	No	
homo sapiens	Heterografts	Neoplasms	
homo sapiens	K562 Cells	No	
homo sapiens	Keratinocytes	No	
homo sapiens	Kidney	Carcinoma, Renal Cell	
homo sapiens	Kidney	No	
homo sapiens	Leukocytes	No	
homo sapiens	Liver	Carcinoma, Hepatocellular	
homo sapiens	Liver	Liver Neoplasms	
homo sapiens	Liver	No	
homo sapiens	Lung	Carcinoma, Bronchogenic	
homo sapiens	Lung	No	
homo sapiens	Mammary Glands, Human	No	
homo sapiens	Mesenchymal Stem Cells	No	
homo sapiens	Milk	No	
homo sapiens	Milk, Human	No	DELETE
homo sapiens	Muscle, Skeletal	No	
homo sapiens	Ovary	Carcinoma, Ovarian Epithelial	
homo sapiens	Ovary	No	
homo sapiens	Ovary	Ovarian Neoplasms	
homo sapiens	Pancreas	No	
homo sapiens	Pancreas	Pancreatic Neoplasms	
homo sapiens	Placenta	No	
homo sapiens	Plasma	No	
homo sapiens	Prostate	Prostatic Neoplasms	
homo sapiens	Saliva	No	
homo sapiens	Serum	No	
homo sapiens	Skin	No	
homo sapiens	Spermatozoa	No	
homo sapiens	Sputum	No	
homo sapiens	Stem Cells	No	
homo sapiens	Synoviocytes	No	
homo sapiens	T-Lymphocyte Subsets	No	
homo sapiens	T-Lymphocytes	No	
homo sapiens	Tissues	Neoplasms	
homo sapiens	Tissues	No	
homo sapiens	Trachea	No	
homo sapiens	Urinary Bladder	Urinary Bladder Neoplasms	
homo sapiens	Urine	No	
hordeum vulgare	Plant Leaves	No	
hordeum vulgare	Tissues	No	
